student_id,section,alg1_grade
2309,ALG1-01,86
2481,ALG1-01,90
2858,ALG1-01,65
3428,ALG1-01,76
1880,ALG1-01,79
2753,ALG1-01,81
2596,ALG1-01,79
2482,ALG1-01,72
3028,ALG1-01,81
2408,ALG1-01,78
2056,ALG1-01,76
1235,ALG1-01,81
1712,ALG1-01,92
3489,ALG1-01,93
2881,ALG1-01,77
2585,ALG1-01,83
1115,ALG1-01,93
1821,ALG1-01,85
5121,ALG1-02,80
5165,ALG1-02,89
4909,ALG1-02,72
4308,ALG1-02,74
4262,ALG1-02,86
3527,ALG1-02,87
4103,ALG1-02,96
4774,ALG1-02,64
4893,ALG1-02,84
5016,ALG1-02,80
4035,ALG1-02,83
4277,ALG1-02,74
4863,ALG1-02,84
3694,ALG1-02,75
5015,ALG1-02,94
3667,ALG1-02,63
3932,ALG1-02,68
4170,ALG1-02,75
6689,ALG1-03,79
6746,ALG1-03,75
6947,ALG1-03,88
6711,ALG1-03,87
6406,ALG1-03,84
6454,ALG1-03,84
5171,ALG1-03,84
6340,ALG1-03,88
6835,ALG1-03,80
5178,ALG1-03,87
6068,ALG1-03,79
5713,ALG1-03,80
6875,ALG1-03,78
6770,ALG1-03,73
5611,ALG1-03,59
6353,ALG1-03,58
5286,ALG1-03,75
5752,ALG1-03,76
8652,ALG1-04,80
8167,ALG1-04,81
8149,ALG1-04,94
9228,ALG1-04,89
8446,ALG1-04,96
9088,ALG1-04,75
8601,ALG1-04,100
8859,ALG1-04,100
8395,ALG1-04,83
8423,ALG1-04,100
8062,ALG1-04,81
7736,ALG1-04,74
9403,ALG1-04,90
7511,ALG1-04,82
6956,ALG1-04,90
7294,ALG1-04,100
8673,ALG1-04,72
7445,ALG1-04,87
