student_id,section,geo_q1
1880,GEO-01,72
6353,GEO-01,68
6875,GEO-01,84
1821,GEO-01,75
6689,GEO-01,77
6947,GEO-01,82
5752,GEO-01,77
6746,GEO-01,83
2482,GEO-01,70
6454,GEO-01,86
3489,GEO-01,83
4909,GEO-01,79
4277,GEO-01,73
9648,GEO-01,78
2585,GEO-01,80
8062,GEO-01,61
6406,GEO-01,84
7445,GEO-01,78
4277,GEO-01,73
4863,GEO-01,86
5015,GEO-01,92
3527,GEO-01,89
4262,GEO-01,83
5286,GEO-01,71
2056,GEO-01,67
2309,GEO-01,86
8149,GEO-01,79
7511,GEO-01,70
5178,GEO-01,82
2408,GEO-01,74
6835,GEO-01,81
5171,GEO-01,82
3932,GEO-01,74
